Regional indicator,average_happiness
South Asia,4.441857142857143
Middle East and North Africa,5.219764705882353
North America and ANZ,7.128500000000001
Sub-Saharan Africa,4.494472222222223
East Asia,5.810333333333333
Commonwealth of Independent States,5.467000000000001
Latin America and Caribbean,5.908049999999999
Western Europe,6.914904761904763
Central and Eastern Europe,5.9847647058823545
Southeast Asia,5.407555555555556
